"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dataset","epochs","hidden_layers","lr","val_split","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"Reacher6_arch6_lr0.001_batch64_valS0.5_relu","finished","-","","","2025-12-08T17:06:23.000Z","86","","relu","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","60","0.0010000000474974513","0.38244184851646423","0.7195734977722168"
"Reacher6_arch6_lr0.001_batch64_valS0.8_tanh","finished","-","","","2025-12-08T17:04:51.000Z","91","","tanh","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","67","0.0010000000474974513","0.29700085520744324","0.8890750408172607"
"Reacher6_arch6_lr0.001_batch64_valS0.8_relu","finished","-","","","2025-12-08T17:03:24.000Z","86","","relu","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","65","0.0010000000474974513","0.24861101806163788","0.9055926203727722"
"Reacher6_arch6_lr0.001_batch32_valS0.05_tanh","finished","-","","","2025-12-08T16:59:55.000Z","208","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","63","0.0010000000474974513","0.46008962392807007","0.6759805083274841"
"Reacher6_arch6_lr0.001_batch32_valS0.05_relu","finished","-","","","2025-12-08T16:56:17.000Z","216","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","64","0.0010000000474974513","0.4504556357860565","0.6332417726516724"
"Reacher6_arch6_lr0.001_batch32_valS0.1_tanh","finished","-","","","2025-12-08T16:52:55.000Z","201","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","66","0.0010000000474974513","0.4499255120754242","0.689334511756897"
"Reacher6_arch6_lr0.001_batch32_valS0.1_relu","finished","-","","","2025-12-08T16:49:41.000Z","193","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","63","0.0010000000474974513","0.4439229369163513","0.640339732170105"
"Reacher6_arch6_lr0.001_batch32_valS0.2_tanh","finished","-","","","2025-12-08T16:46:17.000Z","202","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","67","0.0010000000474974513","0.4313890039920807","0.732380211353302"
"Reacher6_arch6_lr0.001_batch32_valS0.2_relu","finished","-","","","2025-12-08T16:43:09.000Z","186","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","62","0.0010000000474974513","0.4313395619392395","0.6602962017059326"
"Reacher6_arch6_lr0.001_batch32_valS0.5_tanh","finished","-","","","2025-12-08T16:40:07.000Z","181","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","64","0.0010000000474974513","0.3623926639556885","0.8116111755371094"
